                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3406,                 1.0687,                  1.109,                0.93197,                0.87148,                0.92123,                0.52765,                 1.4145,                 0.7697,                 1.0995,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2683,                0.74501,                 1.0858,                0.94402,                0.89353,                0.92519,                0.56263,                 1.3824,                0.70288,                 1.0921,               0.000893,               0.000893,               0.000893
                      3,                 1.1985,                0.65406,                  1.061,                0.95604,                0.90796,                0.94175,                0.60458,                 1.2996,                0.59309,                 1.0687,             0.00067983,             0.00067983,             0.00067983
