                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0313,                0.48007,                 1.0066,                0.97735,                0.93116,                0.96415,                0.68044,                 1.1132,                0.42026,                0.98651,               0.003268,               0.003268,               0.003268
                     37,                 1.0252,                0.47254,                 1.0011,                0.97082,                0.93619,                0.96356,                0.68007,                 1.1119,                0.42013,                0.98591,                0.00307,                0.00307,                0.00307
                     38,                 1.0166,                0.47069,                0.99991,                0.96926,                0.93996,                 0.9629,                0.67916,                 1.1095,                0.42097,                0.98452,               0.002872,               0.002872,               0.002872
                     39,                 1.0142,                0.47013,                0.99933,                0.96862,                0.93949,                0.96481,                0.68238,                 1.1084,                0.42127,                0.98419,               0.002674,               0.002674,               0.002674
                     40,                 1.0102,                0.46471,                 0.9998,                0.97482,                0.93574,                0.96545,                0.68061,                 1.1088,                0.42033,                0.98417,               0.002476,               0.002476,               0.002476
                     41,                0.99639,                0.40794,                 1.0106,                0.98057,                0.93386,                0.96607,                0.68189,                 1.1057,                0.41796,                0.98335,               0.002278,               0.002278,               0.002278
                     42,                0.98398,                0.39862,                 1.0078,                0.98365,                0.93137,                0.96681,                0.68385,                 1.1059,                0.41592,                0.98328,                0.00208,                0.00208,                0.00208
                     43,                0.97561,                0.39143,                 1.0043,                0.98502,                0.93105,                0.96619,                0.68392,                 1.1055,                 0.4157,                0.98309,               0.001882,               0.001882,               0.001882
                     44,                0.96876,                0.38809,                 1.0022,                0.98479,                0.93105,                0.96722,                 0.6857,                 1.1048,                0.41451,                0.98303,               0.001684,               0.001684,               0.001684
                     45,                0.95802,                0.38163,                0.99346,                0.98146,                0.93105,                0.96673,                0.68704,                 1.1038,                0.41463,                0.98263,               0.001486,               0.001486,               0.001486
                     46,                0.95412,                0.37714,                0.99439,                0.97876,                0.93246,                0.96615,                0.68729,                 1.1026,                0.41304,                0.98207,               0.001288,               0.001288,               0.001288
                     47,                0.94329,                0.37216,                 0.9902,                0.97739,                0.93275,                0.96609,                0.68687,                 1.1024,                0.41311,                0.98216,                0.00109,                0.00109,                0.00109
                     48,                0.93799,                0.36768,                0.98853,                0.97223,                  0.936,                0.96609,                0.68787,                 1.1025,                0.41237,                0.98206,               0.000892,               0.000892,               0.000892
                     49,                0.93404,                0.36215,                0.98431,                0.97317,                0.93567,                0.96612,                0.68763,                 1.1021,                0.41243,                0.98187,               0.000694,               0.000694,               0.000694
                     50,                0.92305,                0.35763,                0.98204,                0.97034,                0.93856,                 0.9659,                0.68807,                 1.1022,                0.41177,                0.98166,               0.000496,               0.000496,               0.000496
